video_uuid,chunk_uuid
1a403451-02a2-4675-b725-99b24d7e700b,94a96fbc-7549-476b-a221-f26ef979558b
1a403451-02a2-4675-b725-99b24d7e700b,027c3dc2-4e9d-498b-8584-953a14f95435
1a403451-02a2-4675-b725-99b24d7e700b,e2a694b1-9e22-4442-b10e-f0abe5af1260
1a403451-02a2-4675-b725-99b24d7e700b,a0712011-5d07-4c30-a5ac-1f207ac6c1ae
1a403451-02a2-4675-b725-99b24d7e700b,f1240c2e-25e5-42ae-9b5b-7c7f4d91aea9
1a403451-02a2-4675-b725-99b24d7e700b,114f40cf-f0fa-4b60-87a0-f12c101e0b31
1a403451-02a2-4675-b725-99b24d7e700b,52661897-813b-48d5-b7ee-2569bdfa00c4
1a403451-02a2-4675-b725-99b24d7e700b,c0ee03b8-b57d-453c-9bbf-ffa1f056b418
1a403451-02a2-4675-b725-99b24d7e700b,42c9cd83-9bf7-4d32-b2b4-683b15a93bd2
1a403451-02a2-4675-b725-99b24d7e700b,9ec39ff1-b535-4daa-90a4-2421b9d67d52
1a403451-02a2-4675-b725-99b24d7e700b,5ab7db2d-b29b-4dc6-bcbb-a2774a73081e
1a403451-02a2-4675-b725-99b24d7e700b,d4acb3ed-654d-4d2d-a788-da3d0bf7f498
1a403451-02a2-4675-b725-99b24d7e700b,244181c8-a350-4cba-9f7f-a32796068cf9
1a403451-02a2-4675-b725-99b24d7e700b,b9ecd13c-e76b-4a72-a887-ded23ef89e1f
1a403451-02a2-4675-b725-99b24d7e700b,da726fd2-061c-4d01-808b-a15fefe89a29
1a403451-02a2-4675-b725-99b24d7e700b,ccd4a46f-189e-461f-8064-294a07802d34
1a403451-02a2-4675-b725-99b24d7e700b,f63fb032-e699-4afe-a62e-e31877a0b57e
1a403451-02a2-4675-b725-99b24d7e700b,07d3cf08-efa3-4f27-9454-9d0d9626d52c
1a403451-02a2-4675-b725-99b24d7e700b,4050b3eb-e60e-4a57-8c28-09ad536d10ba
1a403451-02a2-4675-b725-99b24d7e700b,dfc8e9a1-e28e-4f50-ab6a-a8419c70a598
1a403451-02a2-4675-b725-99b24d7e700b,91bc41ed-98f9-43fb-a31e-f3d12cfc9d8b
7dabe521-fdf0-47c7-8981-45697ce213cb,572b9eb5-8f14-469c-8ba3-bf4a355d3331
7dabe521-fdf0-47c7-8981-45697ce213cb,23e9b875-196e-4754-906b-2105982f8ad3
7dabe521-fdf0-47c7-8981-45697ce213cb,1929cdc8-32ef-4d3f-9836-c50bd4f3cd72
7dabe521-fdf0-47c7-8981-45697ce213cb,7000703b-f912-47c4-8f58-be329463d8a6
7dabe521-fdf0-47c7-8981-45697ce213cb,19dd24f4-5200-47c5-9737-8dd69799fa7f
7dabe521-fdf0-47c7-8981-45697ce213cb,a3cdcd2c-8bdc-4493-aa19-fa98e653f98a
7dabe521-fdf0-47c7-8981-45697ce213cb,1d3b68b6-3893-42fb-92c4-e94430d1ce6e
7dabe521-fdf0-47c7-8981-45697ce213cb,347d4e6e-287e-4676-a96e-d52cb9d2c431
7dabe521-fdf0-47c7-8981-45697ce213cb,763f6b1f-a82f-429a-88fa-94da68106936
7dabe521-fdf0-47c7-8981-45697ce213cb,89c96eef-d50c-46d1-8c40-350aa19072a6
7dabe521-fdf0-47c7-8981-45697ce213cb,f2082822-3b70-4b06-9c6e-a0d03d0bb6c0
7dabe521-fdf0-47c7-8981-45697ce213cb,c834c2c0-16d2-46a6-a3ad-2f15ff985697
7dabe521-fdf0-47c7-8981-45697ce213cb,688a6e0d-7a1b-4bc8-b33a-2a08a7f15f64
7dabe521-fdf0-47c7-8981-45697ce213cb,af267106-79c3-490e-b000-89b2768702ff
7dabe521-fdf0-47c7-8981-45697ce213cb,6662095b-fe71-4b7f-af7a-1872a2c1e27b
f4b16706-957f-4c32-b84f-85ecdf771acb,0e25d93b-5ede-459e-9dc5-9942da610332
f4b16706-957f-4c32-b84f-85ecdf771acb,4f5e744a-4a40-4f4c-b4bb-b77818b2c5b0
f4b16706-957f-4c32-b84f-85ecdf771acb,97b81c22-a127-4155-8d61-57943c91780e
f4b16706-957f-4c32-b84f-85ecdf771acb,e9603bf1-4213-4fe1-81ed-0e4a6d47ded5
f4b16706-957f-4c32-b84f-85ecdf771acb,380b0a53-b63b-4b08-af14-9a783de1680b
f4b16706-957f-4c32-b84f-85ecdf771acb,4d714e2a-4b97-479b-9c0f-e02895926499
f4b16706-957f-4c32-b84f-85ecdf771acb,035a40d5-b9fe-4266-a8c1-09e383f645f4
f4b16706-957f-4c32-b84f-85ecdf771acb,4ea331e8-7d47-4fe9-b137-6c075083ddca
f4b16706-957f-4c32-b84f-85ecdf771acb,bdaf5adf-93dc-4b35-8443-96bd23e97395
